time,open,high,low,close,tick_volume,spread,real_volume
2021-10-26,1807.777,1807.848,1782.191,1793.554,77581,200,0
2021-10-27,1793.571,1799.027,1783.397,1796.583,90841,200,0
2021-10-28,1796.552,1810.38,1791.986,1799.575,108938,200,0
2021-10-29,1799.559,1799.944,1771.896,1783.296,108246,200,0
2021-10-31,1783.269,1783.269,1779.055,1780.026,3101,200,0
2021-11-01,1780.02,1795.686,1779.988,1792.047,77563,200,0
2021-11-02,1792.077,1796.349,1786.062,1787.125,77044,200,0
2021-11-03,1787.102,1787.579,1758.534,1777.242,111398,200,0
2021-11-04,1777.274,1798.894,1770.762,1791.317,87601,200,0
2021-11-05,1791.322,1818.269,1784.842,1818.127,101568,200,0
2021-11-07,1815.75,1818.072,1815.47,1815.82,2370,200,0
2021-11-08,1815.83,1826.395,1812.403,1824.501,81628,200,0
2021-11-09,1824.498,1832.624,1819.119,1829.861,88035,200,0
2021-11-10,1829.858,1868.193,1822.076,1848.511,113364,200,0
2021-11-11,1848.493,1865.739,1842.86,1862.286,82010,200,0
2021-11-12,1862.285,1868.574,1845.229,1864.361,86415,200,0
2021-11-14,1866.804,1867.783,1865.24,1865.476,2251,200,0
2021-11-15,1865.49,1870.267,1856.308,1862.387,78143,200,0
2021-11-16,1862.356,1877.067,1849.644,1850.311,99079,200,0
2021-11-17,1850.313,1868.063,1849.53,1866.479,78527,200,0
2021-11-18,1866.507,1870.883,1855.023,1859.578,83755,200,0
2021-11-19,1859.585,1865.621,1842.815,1846.196,101421,200,0
2021-11-21,1842.207,1847.169,1841.485,1844.879,3839,200,0
2021-11-22,1844.909,1849.046,1802.202,1808.997,114375,200,0
2021-11-23,1809.027,1812.37,1781.914,1790.875,112579,200,0
2021-11-24,1790.91,1796.354,1778.15,1789.664,98771,200,0
2021-11-25,1789.698,1795.027,1787.851,1792.628,44282,200,0
2021-11-26,1792.616,1815.467,1780.054,1787.433,108720,200,0
2021-11-28,1788.597,1795.644,1780.238,1795.521,6519,200,0
2021-11-29,1795.49,1799.361,1781.122,1786.826,98867,200,0
2021-11-30,1786.816,1808.477,1769.681,1773.206,139330,200,0
2021-12-01,1773.209,1794.267,1772.598,1781.825,121611,200,0
2021-12-02,1781.812,1781.971,1761.841,1768.989,104024,200,0
2021-12-03,1768.985,1786.072,1766.078,1783.414,109951,200,0
2021-12-05,1782.102,1784.094,1780.691,1782.901,2235,200,0
2021-12-06,1782.933,1787.683,1775.506,1780.931,77827,200,0
2021-12-07,1780.899,1787.791,1771.828,1784.719,74328,200,0
2021-12-08,1784.685,1793.061,1779.53,1783.494,78974,200,0
2021-12-09,1783.474,1787.554,1773.417,1776.327,77263,200,0
2021-12-10,1776.329,1789.123,1769.919,1782.805,76366,200,0
2021-12-12,1782.732,1784.389,1782.71,1783.216,1672,200,0
2021-12-13,1783.217,1791.381,1781.725,1785.722,62122,200,0
2021-12-14,1785.754,1789.462,1766.419,1772.453,74022,200,0
2021-12-15,1772.485,1781.434,1753.053,1779.456,104131,200,0
2021-12-16,1779.466,1799.621,1775.504,1798.708,83297,200,0
2021-12-17,1798.738,1814.191,1795.794,1798.064,76681,200,0
2021-12-19,1800.61,1801.676,1799.386,1800.067,2260,200,0
2021-12-20,1800.065,1804.089,1788.286,1791.617,72693,200,0
2021-12-21,1791.622,1800.238,1784.568,1790.466,68099,200,0
2021-12-22,1790.47,1804.962,1785.846,1803.662,61506,200,0
2021-12-23,1803.66,1810.687,1798.609,1808.451,57419,200,0
2021-12-26,1806.207,1808.526,1805.977,1807.259,1459,200,0
2021-12-27,1807.26,1813.384,1802.871,1812.348,53307,200,0
2021-12-28,1812.36,1820.191,1805.006,1806.56,58071,200,0
2021-12-29,1806.557,1807.626,1789.212,1804.526,66300,200,0
2021-12-30,1804.533,1817.117,1796.118,1815.703,61954,200,0
2021-12-31,1815.704,1828.722,1814.704,1827.615,57515,200,0
2022-01-02,1830.615,1831.73,1828.021,1828.452,1679,200,0
2022-01-03,1828.453,1831.542,1798.304,1804.101,75997,200,0
2022-01-04,1804.127,1816.68,1798.452,1813.873,78878,200,0
2022-01-05,1813.885,1829.591,1808.259,1810.244,79722,200,0
2022-01-06,1810.275,1811.475,1786.332,1791.365,98835,200,0
2022-01-07,1791.381,1798.604,1782.289,1796.899,85391,200,0
2022-01-09,1794.898,1796.069,1794.505,1795.145,1987,200,0
2022-01-10,1795.117,1802.899,1790.033,1801.225,77395,200,0
2022-01-11,1801.195,1823.249,1801.195,1820.722,77420,200,0
2022-01-12,1820.714,1828.061,1814.465,1825.277,74394,200,0
2022-01-13,1825.28,1828.107,1812.206,1820.818,71647,200,0
2022-01-14,1820.817,1829.045,1814.63,1817.639,79137,200,0
2022-01-16,1817.663,1818.081,1815.859,1816.379,1623,200,0
2022-01-17,1816.377,1823.141,1813.109,1819.029,41119,200,0
2022-01-18,1818.985,1822.726,1805.622,1814.21,92034,200,0
2022-01-19,1814.231,1843.326,1810.075,1838.495,83952,200,0
2022-01-20,1838.496,1847.646,1835.68,1838.889,81810,200,0
2022-01-21,1838.895,1843.095,1828.126,1834.664,85165,200,0
2022-01-23,1833.144,1837.088,1833.123,1834.669,2717,200,0
2022-01-24,1834.699,1844.124,1829.487,1843.521,90979,200,0
2022-01-25,1843.527,1853.785,1834.517,1849.526,86389,200,0
2022-01-26,1849.505,1849.51,1814.84,1821.928,107560,200,0
2022-01-27,1821.924,1821.949,1791.677,1797.205,109475,200,0
2022-01-28,1797.232,1799.343,1779.895,1791.634,97691,200,0
2022-01-30,1789.345,1790.575,1788.327,1789.464,2523,200,0
2022-01-31,1789.494,1799.841,1785.425,1797.738,81387,200,0
2022-02-01,1797.736,1808.434,1795.718,1800.694,81664,200,0
2022-02-02,1800.711,1810.736,1794.309,1807.83,73881,200,0
2022-02-03,1807.797,1808.931,1788.521,1805.719,88785,200,0
2022-02-04,1805.691,1814.862,1792.076,1807.732,93099,200,0
2022-02-06,1808.436,1811.438,1807.877,1810.028,2355,200,0
2022-02-07,1810.035,1823.503,1808.678,1822.004,73956,200,0
2022-02-08,1821.979,1828.737,1815.397,1826.134,62407,200,0
2022-02-09,1825.521,1835.783,1824.374,1832.541,60237,200,0
2022-02-10,1832.543,1841.879,1821.482,1826.796,101664,200,0
2022-02-11,1826.765,1865.332,1820.681,1858.955,121366,200,0
