time,pred,entry,exit,result,pnl,cum_pnl
2025-06-25 16:50:00,BUY,3334.457,3333.457,SL,-1.0,-1.0
2025-06-25 16:55:00,BUY,3334.802,3333.802,SL,-1.0,-2.0
2025-06-25 17:00:00,BUY,3333.24,3333.74,TP,0.5,-1.5
2025-06-25 17:05:00,BUY,3334.689,3333.689,SL,-1.0,-2.5
2025-06-25 17:10:00,BUY,3333.636,3332.636,SL,-1.0,-3.5
2025-06-25 17:15:00,BUY,3332.842,3331.842,SL,-1.0,-4.5
2025-06-25 17:20:00,BUY,3331.43,3330.43,SL,-1.0,-5.5
2025-06-25 17:25:00,SELL,3328.899,3329.899,SL,-1.0,-6.5
2025-06-25 17:30:00,SELL,3326.659,3327.659,SL,-1.0,-7.5
2025-06-25 17:35:00,SELL,3326.358,3327.358,SL,-1.0,-8.5
2025-06-25 17:40:00,SELL,3327.49,3326.99,TP,0.5,-8.0
2025-06-25 17:45:00,SELL,3326.75,3327.75,SL,-1.0,-9.0
2025-06-25 17:50:00,SELL,3327.624,3328.624,SL,-1.0,-10.0
2025-06-25 17:55:00,SELL,3328.03,3329.03,SL,-1.0,-11.0
2025-06-25 18:00:00,SELL,3326.995,3326.495,TP,0.5,-10.5
2025-06-25 18:05:00,SELL,3326.536,3327.536,SL,-1.0,-11.5
2025-06-25 18:10:00,SELL,3328.056,3329.056,SL,-1.0,-12.5
2025-06-25 18:15:00,SELL,3329.054,3330.054,SL,-1.0,-13.5
2025-06-25 18:20:00,SELL,3329.862,3329.362,TP,0.5,-13.0
2025-06-25 18:25:00,SELL,3329.501,3330.501,SL,-1.0,-14.0
2025-06-25 18:30:00,SELL,3329.708,3329.208,TP,0.5,-13.5
2025-06-25 18:35:00,SELL,3329.644,3330.644,SL,-1.0,-14.5
2025-06-25 18:40:00,BUY,3329.713,3330.213,TP,0.5,-14.0
2025-06-25 18:45:00,BUY,3330.016,3330.516,TP,0.5,-13.5
2025-06-25 18:50:00,BUY,3330.598,3331.098,TP,0.5,-13.0
2025-06-25 18:55:00,BUY,3331.583,3332.083,TP,0.5,-12.5
2025-06-25 19:00:00,BUY,3331.88,3330.88,SL,-1.0,-13.5
2025-06-25 19:05:00,BUY,3330.587,3331.087,TP,0.5,-13.0
2025-06-25 19:10:00,BUY,3331.623,3332.123,TP,0.5,-12.5
2025-06-25 19:15:00,BUY,3331.348,3331.848,TP,0.5,-12.0
2025-06-25 19:20:00,BUY,3332.152,3332.652,TP,0.5,-11.5
2025-06-25 19:25:00,BUY,3334.0,3334.5,TP,0.5,-11.0
2025-06-25 19:30:00,BUY,3335.264,3335.764,TP,0.5,-10.5
2025-06-25 19:35:00,BUY,3335.142,3335.642,TP,0.5,-10.0
2025-06-25 19:40:00,BUY,3335.87,3334.87,SL,-1.0,-11.0
2025-06-25 19:45:00,BUY,3334.205,3333.205,SL,-1.0,-12.0
2025-06-25 19:50:00,BUY,3332.911,3333.411,TP,0.5,-11.5
2025-06-25 19:55:00,BUY,3333.706,3334.206,TP,0.5,-11.0
2025-06-25 20:00:00,BUY,3335.407,3334.407,SL,-1.0,-12.0
2025-06-25 20:05:00,BUY,3334.53,3333.53,SL,-1.0,-13.0
2025-06-25 20:10:00,SELL,3332.395,3333.395,SL,-1.0,-14.0
2025-06-25 20:15:00,BUY,3332.886,3333.386,TP,0.5,-13.5
2025-06-25 20:20:00,SELL,3332.518,3333.518,SL,-1.0,-14.5
2025-06-25 20:25:00,BUY,3332.88,3333.38,TP,0.5,-14.0
2025-06-25 20:30:00,SELL,3332.854,3332.354,TP,0.5,-13.5
2025-06-25 20:35:00,SELL,3333.011,3332.511,TP,0.5,-13.0
2025-06-25 20:40:00,SELL,3333.613,3333.113,TP,0.5,-12.5
2025-06-25 20:45:00,SELL,3332.302,3333.302,SL,-1.0,-13.5
2025-06-25 20:50:00,SELL,3332.591,3332.091,TP,0.5,-13.0
2025-06-25 20:55:00,SELL,3332.385,3333.385,SL,-1.0,-14.0
2025-06-25 22:00:00,BUY,3334.408,3333.408,SL,-1.0,-15.0
2025-06-25 22:05:00,SELL,3334.369,3333.869,TP,0.5,-14.5
2025-06-25 22:10:00,SELL,3333.447,3332.947,TP,0.5,-14.0
2025-06-25 22:15:00,SELL,3332.598,3332.098,TP,0.5,-13.5
2025-06-25 22:20:00,SELL,3331.706,3332.706,SL,-1.0,-14.5
2025-06-25 22:25:00,SELL,3332.292,3333.292,SL,-1.0,-15.5
2025-06-25 22:30:00,BUY,3333.097,3333.597,TP,0.5,-15.0
2025-06-25 22:35:00,BUY,3333.316,3333.816,TP,0.5,-14.5
2025-06-25 22:40:00,BUY,3334.17,3333.17,SL,-1.0,-15.5
2025-06-25 22:45:00,SELL,3333.213,3334.213,SL,-1.0,-16.5
2025-06-25 22:50:00,BUY,3334.091,3333.091,SL,-1.0,-17.5
2025-06-25 22:55:00,SELL,3333.211,3334.211,SL,-1.0,-18.5
